participant_id,campus,role_group,scenario_id,pair_id,method,form,planned_order,service_version,host_application,started_at,elapsed_seconds,correction_seconds,completed_without_help,source_url,law_id,history_id,as_of,scope_verified,table_verified,reviewer1_score,reviewer2_score,agreed_score,critical_error_count,error_category,result_status,notes_redacted
P01,,,S01,P01-S01,manual,A,1,,,,,,,,,,,,,,,,,,,
P01,,,S01,P01-S01,mcp,B,2,,,,,,,,,,,,,,,,,,,
P01,,,S02,P01-S02,mcp,A,1,,,,,,,,,,,,,,,,,,,
P01,,,S02,P01-S02,manual,B,2,,,,,,,,,,,,,,,,,,,
P01,,,S03,P01-S03,manual,A,1,,,,,,,,,,,,,,,,,,,
P01,,,S03,P01-S03,mcp,B,2,,,,,,,,,,,,,,,,,,,
P02,,,S01,P02-S01,mcp,A,1,,,,,,,,,,,,,,,,,,,
P02,,,S01,P02-S01,manual,B,2,,,,,,,,,,,,,,,,,,,
P02,,,S02,P02-S02,manual,A,1,,,,,,,,,,,,,,,,,,,
P02,,,S02,P02-S02,mcp,B,2,,,,,,,,,,,,,,,,,,,
P02,,,S03,P02-S03,mcp,A,1,,,,,,,,,,,,,,,,,,,
P02,,,S03,P02-S03,manual,B,2,,,,,,,,,,,,,,,,,,,
P03,,,S01,P03-S01,manual,A,1,,,,,,,,,,,,,,,,,,,
P03,,,S01,P03-S01,mcp,B,2,,,,,,,,,,,,,,,,,,,
P03,,,S02,P03-S02,mcp,A,1,,,,,,,,,,,,,,,,,,,
P03,,,S02,P03-S02,manual,B,2,,,,,,,,,,,,,,,,,,,
P03,,,S03,P03-S03,manual,A,1,,,,,,,,,,,,,,,,,,,
P03,,,S03,P03-S03,mcp,B,2,,,,,,,,,,,,,,,,,,,
P04,,,S01,P04-S01,mcp,A,1,,,,,,,,,,,,,,,,,,,
P04,,,S01,P04-S01,manual,B,2,,,,,,,,,,,,,,,,,,,
P04,,,S02,P04-S02,manual,A,1,,,,,,,,,,,,,,,,,,,
P04,,,S02,P04-S02,mcp,B,2,,,,,,,,,,,,,,,,,,,
P04,,,S03,P04-S03,mcp,A,1,,,,,,,,,,,,,,,,,,,
P04,,,S03,P04-S03,manual,B,2,,,,,,,,,,,,,,,,,,,
P05,,,S01,P05-S01,manual,A,1,,,,,,,,,,,,,,,,,,,
P05,,,S01,P05-S01,mcp,B,2,,,,,,,,,,,,,,,,,,,
P05,,,S02,P05-S02,mcp,A,1,,,,,,,,,,,,,,,,,,,
P05,,,S02,P05-S02,manual,B,2,,,,,,,,,,,,,,,,,,,
P05,,,S03,P05-S03,manual,A,1,,,,,,,,,,,,,,,,,,,
P05,,,S03,P05-S03,mcp,B,2,,,,,,,,,,,,,,,,,,,
